"Timestamp","Should the mods be more active?","Should discussion & tutorial threads be a more regular thing?","Should posters be required to post their customisation information?","Should OC posts like ""I made an gtk-them/icon-theme/cool-script"" be encouraged?","Should we hold more regular contests?","Should hosting Imgur be a requirement?","Should ""fapping"" (not including ""porn"" or ""sex[y]"") be dropped from the sub?"
"2014/05/22 2:46:08 pm CET","Indifferent","Yes","No","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 2:47:15 pm CET","Indifferent","Yes","No","Yes","No","No","No"
"2014/05/22 3:01:58 pm CET","Indifferent","Yes","Indifferent","Yes","Indifferent","Yes","Yes"
"2014/05/22 3:02:13 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Yes"
"2014/05/22 3:06:25 pm CET","Indifferent","Indifferent","Yes, but with a predefined template","Indifferent","Indifferent","No, but don't allow all hosts","No"
"2014/05/22 3:07:46 pm CET","Yes","Indifferent","Yes, but with a predefined template","No","Indifferent","No","Indifferent"
"2014/05/22 3:59:57 pm CET","Yes","Indifferent","Yes, but with a predefined template","Yes","Indifferent","Yes","No"
"2014/05/22 4:02:22 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Indifferent","No"
"2014/05/22 4:47:38 pm CET","Indifferent","No","No","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/22 4:49:21 pm CET","Yes","Yes","No","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/22 4:58:56 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Indifferent"
"2014/05/22 5:20:28 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","Yes","Yes"
"2014/05/22 5:21:40 pm CET","Yes","Yes","Indifferent","No","Yes","No","No"
"2014/05/22 5:24:53 pm CET","Indifferent","Indifferent","Yes, but however they want","Yes","Indifferent","No","No"
"2014/05/22 5:35:36 pm CET","No","Indifferent","No","No","Indifferent","No","No"
"2014/05/22 7:22:34 pm CET","Indifferent","Yes","Yes, but however they want","Yes","No","No","Indifferent"
"2014/05/22 7:28:03 pm CET","Yes","Indifferent","Yes, but with a predefined template","No","No","Yes","Yes"
"2014/05/22 8:46:36 pm CET","Yes","Yes","Yes, but however they want","Indifferent","Yes","No","Indifferent"
"2014/05/22 9:16:22 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/22 9:58:27 pm CET","Yes","Indifferent","Yes, but however they want","Indifferent","Indifferent","No","Indifferent"
"2014/05/22 10:40:36 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/22 11:35:20 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No","Indifferent"
"2014/05/23 12:34:36 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No","No"
"2014/05/23 1:35:19 am CET","Indifferent","Yes","Yes, but with a predefined template","No","Indifferent","No","Indifferent"
"2014/05/23 1:36:01 am CET","No","Yes","Yes, but with a predefined template","Yes","Indifferent","Indifferent","Yes"
"2014/05/23 2:29:17 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Indifferent"
"2014/05/23 2:35:46 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Yes"
"2014/05/23 3:26:32 am CET","Indifferent","Yes","No","Indifferent","Indifferent","No, but don't allow all hosts","No"
"2014/05/23 5:32:27 am CET","Yes","Yes","No","Yes","Yes","Indifferent","Indifferent"
"2014/05/23 6:07:08 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Yes","No"
"2014/05/23 6:41:15 am CET","Yes","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/23 9:45:50 am CET","Indifferent","Yes","Indifferent","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/23 10:59:26 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Indifferent","Indifferent"
"2014/05/23 12:29:36 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/23 12:54:54 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No","Indifferent"
"2014/05/23 1:12:45 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/23 3:10:37 pm CET","Indifferent","Indifferent","Yes, but however they want","Yes","Indifferent","No","Yes"
"2014/05/23 5:53:44 pm CET","Yes","Yes","Indifferent","No","No","Yes","No"
"2014/05/23 7:22:07 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","No","Yes"
"2014/05/23 9:57:38 pm CET","Yes","Yes","Yes, but however they want","Indifferent","Indifferent","Yes","Indifferent"
"2014/05/23 10:45:02 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Yes"
"2014/05/23 10:56:37 pm CET","Indifferent","Yes","No","Yes","Indifferent","Indifferent","No"
"2014/05/23 10:56:59 pm CET","Indifferent","Yes","Indifferent","Yes","Indifferent","No","Indifferent"
"2014/05/24 12:14:27 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No","No"
"2014/05/24 1:50:12 am CET","Indifferent","Yes","Indifferent","Yes","Indifferent","Indifferent","Indifferent"
